;\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=1$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=5$)};\rotatebox[origin=c]{90}{\textbf{WL\textsubscript{SP}} ($T=5$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{2-LWL*}} ($T=3$)};\rotatebox[origin=c]{90}{\textbf{2-GWL} ($T=3$)};\rotatebox[origin=c]{90}{\textbf{2-GNN} ($\mean$)};\rotatebox[origin=c]{90}{\textbf{2-GNN} ($\mathrm{SAM}$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mean$)};\rotatebox[origin=c]{90}{\textbf{2-WL-GNN} ($\mean$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mathrm{SAM}$)}
\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=1$);;\textcolor{t_red}{$-1.7 \pm 3.2$};\textcolor{t_red}{$-2.6 \pm 3.5$};\textcolor{t_red}{$-1.2 \pm 2.6$};\textcolor{t_darkgreen}{$0.6 \pm 3.5$};\textcolor{t_red}{$-0.4 \pm 3.1$};\textcolor{t_darkgreen}{$0.1 \pm 2.4$};\textcolor{t_darkgreen}{$0.1 \pm 3.5$};\textcolor{t_red}{$-0.2 \pm 4.4$};\textcolor{t_red}{$-1.2 \pm 3.1$}
\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=5$);\textcolor{t_darkgreen}{$1.7 \pm 3.2$};;\textcolor{t_red}{$-0.9 \pm 3.7$};\textcolor{t_darkgreen}{$0.5 \pm 3.3$};\textcolor{t_darkgreen}{$2.3 \pm 3.2$};\textcolor{t_darkgreen}{$1.3 \pm 3.8$};\textcolor{t_darkgreen}{$1.8 \pm 4.3$};\textcolor{t_darkgreen}{$1.8 \pm 4.1$};\textcolor{t_darkgreen}{$1.5 \pm 4.6$};\textcolor{t_darkgreen}{$0.5 \pm 4.1$}
\textbf{WL\textsubscript{SP}} ($T=5$);\textcolor{t_darkgreen}{$2.6 \pm 3.5$};\textcolor{t_darkgreen}{$0.9 \pm 3.7$};;\textcolor{t_darkgreen}{$1.4 \pm 4.9$};\textcolor{t_darkgreen}{$3.2 \pm 5.0$};\textcolor{t_darkgreen}{$2.2 \pm 4.8$};\textcolor{t_darkgreen}{$2.7 \pm 4.4$};\textcolor{t_darkgreen}{$2.7 \pm 5.0$};\textcolor{t_darkgreen}{$2.4 \pm 5.7$};\textcolor{t_darkgreen}{$1.4 \pm 5.1$}
\textbf{\textcolor{t_darkgreen}{2-LWL*}} ($T=3$);\textcolor{t_darkgreen}{$1.2 \pm 2.6$};\textcolor{t_red}{$-0.5 \pm 3.3$};\textcolor{t_red}{$-1.4 \pm 4.9$};;\textcolor{t_darkgreen}{$1.8 \pm 2.6$};\textcolor{t_darkgreen}{$0.8 \pm 2.0$};\textcolor{t_darkgreen}{$1.3 \pm 3.2$};\textcolor{t_darkgreen}{$1.3 \pm 3.2$};\textcolor{t_darkgreen}{$1.0 \pm 3.5$};\textcolor{t_darkgreen}{$0.0 \pm 3.0$}
\textbf{2-GWL} ($T=3$);\textcolor{t_red}{$-0.6 \pm 3.5$};\textcolor{t_red}{$-2.3 \pm 3.2$};\textcolor{t_red}{$-3.2 \pm 5.0$};\textcolor{t_red}{$-1.8 \pm 2.6$};;\textcolor{t_red}{$-1.0 \pm 2.6$};\textcolor{t_red}{$-0.5 \pm 4.1$};\textcolor{t_red}{$-0.5 \pm 3.3$};\textcolor{t_red}{$-0.8 \pm 3.1$};\textcolor{t_red}{$-1.8 \pm 3.0$}
\textbf{2-GNN} ($\mean$);\textcolor{t_darkgreen}{$0.4 \pm 3.1$};\textcolor{t_red}{$-1.3 \pm 3.8$};\textcolor{t_red}{$-2.2 \pm 4.8$};\textcolor{t_red}{$-0.8 \pm 2.0$};\textcolor{t_darkgreen}{$1.0 \pm 2.6$};;\textcolor{t_darkgreen}{$0.5 \pm 2.8$};\textcolor{t_darkgreen}{$0.5 \pm 2.5$};\textcolor{t_darkgreen}{$0.2 \pm 2.8$};\textcolor{t_red}{$-0.8 \pm 2.6$}
\textbf{2-GNN} ($\mathrm{SAM}$);\textcolor{t_red}{$-0.1 \pm 2.4$};\textcolor{t_red}{$-1.8 \pm 4.3$};\textcolor{t_red}{$-2.7 \pm 4.4$};\textcolor{t_red}{$-1.3 \pm 3.2$};\textcolor{t_darkgreen}{$0.5 \pm 4.1$};\textcolor{t_red}{$-0.5 \pm 2.8$};;\textcolor{t_darkgreen}{$0.0 \pm 2.8$};\textcolor{t_red}{$-0.3 \pm 3.5$};\textcolor{t_red}{$-1.3 \pm 2.5$}
\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mean$);\textcolor{t_red}{$-0.1 \pm 3.5$};\textcolor{t_red}{$-1.8 \pm 4.1$};\textcolor{t_red}{$-2.7 \pm 5.0$};\textcolor{t_red}{$-1.3 \pm 3.2$};\textcolor{t_darkgreen}{$0.5 \pm 3.3$};\textcolor{t_red}{$-0.5 \pm 2.5$};\textcolor{t_red}{$-0.0 \pm 2.8$};;\textcolor{t_red}{$-0.3 \pm 1.7$};\textcolor{t_red}{$-1.3 \pm 1.1$}
\textbf{2-WL-GNN} ($\mean$);\textcolor{t_darkgreen}{$0.2 \pm 4.4$};\textcolor{t_red}{$-1.5 \pm 4.6$};\textcolor{t_red}{$-2.4 \pm 5.7$};\textcolor{t_red}{$-1.0 \pm 3.5$};\textcolor{t_darkgreen}{$0.8 \pm 3.1$};\textcolor{t_red}{$-0.2 \pm 2.8$};\textcolor{t_darkgreen}{$0.3 \pm 3.5$};\textcolor{t_darkgreen}{$0.3 \pm 1.7$};;\textcolor{t_red}{$-1.0 \pm 2.0$}
\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mathrm{SAM}$);\textcolor{t_darkgreen}{$1.2 \pm 3.1$};\textcolor{t_red}{$-0.5 \pm 4.1$};\textcolor{t_red}{$-1.4 \pm 5.1$};\textcolor{t_red}{$-0.0 \pm 3.0$};\textcolor{t_darkgreen}{$1.8 \pm 3.0$};\textcolor{t_darkgreen}{$0.8 \pm 2.6$};\textcolor{t_darkgreen}{$1.3 \pm 2.5$};\textcolor{t_darkgreen}{$1.3 \pm 1.1$};\textcolor{t_darkgreen}{$1.0 \pm 2.0$};
